slug;998__a;â€Ž;;;;;;
48392952;agritec;;;;;;;
25328859;agrotest_fyto;;;;;;;
61384984  ;akademie_muzickych_umeni_v_praze;;;;;;;
60461446  ;akademie_vytvarnych_umeni;;;;;;;
68081758;archeologicky_ustav_brno;;;;;;;
67985912;archeologicky_ustav_praha;;;;;;;
28881699  ;archip;;;;;;;
26543281;arnika;;;;;;;
67985815;astronomicky_ustav;;;;;;;
68081707;biofyzikalni_ustav;;;;;;;
60077344;biologicke_centrum;;;;;;;
86652036;biotechnologicky_ustav;;;;;;;
67985939;botanicky_ustav;;;;;;;
45249130;cenia;;;;;;;
44994575;centrum_dopravniho_vyzkumu;;;;;;;
67980961;centrum_pro_dopravu_a_energetiku;;;;;;;
04095316;centrum_pro_regionalni_rozvoj;;;;;;;
00237752;centrum_pro_studium_vysokeho_skolstvi;;;;;;;
68378025-cvvm;centrum_pro_vyzkum_verejneho_mineni;;;;;;;
62348451;ceska_asociace_ergoterapeutu;;;;;;;
00473146;ceska_asociace_paraplegiku;;;;;;;
48136450;ceska_narodni_banka;;;;;;;
68379439;crdm;;;;;;;
49629549;ceska_spolecnost_ornitologicka;;;;;;;
60460709  ;ceska_zemedelska_univerzita;;;;;;;
68407700  ;cvut;;;;;;;
00025593;cesky_statisticky_urad;;;;;;;
25755277;clovek_v_tisni;;;;;;;
26664488;ekodomov;;;;;;;
60077344-entu;entomologicky_ustav;;;;;;;
68378076;etnologicky_ustav;;;;;;;
26987627;evropske_hodnoty;;;;;;;
71226672;fairtrade_cz_sk;;;;;;;
67985955;filosoficky_ustav;;;;;;;
68378271;fyzikalni_ustav;;;;;;;
67985823;fyziologicky_ustav;;;;;;;
00373231;galerie_vytvarneho_umeni_v_ostrave;;;;;;;
25737058;gender_studies;;;;;;;
67985530;geofyzikalni_ustav;;;;;;;
67985831;geologicky_ustav;;;;;;;
28204409;gle;;;;;;1;2
67779751;hestia;;;;;;;
67985963;historicky_ustav;;;;;;;
60077344-hbu;hydrobiologicky_ustav;;;;;;;
14864347;chmelarsky_institut;;;;;;;
00023205;institut_umeni;;;;;;;
26534487;iuridicum_remedium;;;;;;;
62156462  ;;;;;;;;
60076658  ;jihoceska_univerzita_v_ceskych_budejovicich;;;;;;;
00092738;jihomoravske_muzeum_ve_znojme;;;;;;;
67985971;knihovna_av_cr;;;;;;;
00216224  ;masarykova_univerzita;;;;;;;
67985921;masarykuv_ustav_a_archiv;;;;;;;
67985840;matematicky_ustav;;;;;;;
62156489  ;mendelova_univerzita_v_brne;;;;;;;
61388971;mikrobiologicky_ustav;;;;;;;
60162694;ministerstvo_obrany;;;;;;;
00025429;ministerstvo_spravedlnosti;;;;;;;
00164801;ministerstvo_zivotniho_prostredi;;;;;;;
00094871;moravska_galerie;;;;;;;
00094943;moravska_zemska_knihovna;;;;;;;
00089257;muzeum_brnenska;;;;;;;
00088382;muzeum_vychodnich_cech;;;;;;;
27421538;nadace_promeny;;;;;;;
70979821;nacr;;;;;;;
14450551;narodni_informacni_a_poradenske_stredisko_pro_kulturu;;;;;;;
00023221;narodni_knihovna;;;;;;;
00023825;narodni_lekarska_knihovna;;;;;;;
00023272;narodni_muzeum;;;;;;;
00098604;narodni_muzeum_v_prirode;;;;;;;
75032333;narodni_pamatkovy_ustav;;;;;;;
61387142;narodni_technicka_knihovna;;;;;;;
00023299;narodni_technicke_muzeum;;;;;;;
00094927;nulk;;;;;;;
2238195;nuv;;;;;;;
75075741;narodni_zemedelske_muzeum;;;;;;;
67985998;narodohospodarsky_ustav;;;;;;;
68378009;orientalni_ustav;;;;;;;
26791251;oseva;;;;;;;
61988987  ;ostravska_univerzita;;;;;;;
00023311;pamatnik_narodniho_pisemnictvi;;;;;;;
60077344-pau;parazitologicky_ustav;;;;;;;
00006572;parlamentni_institut;;;;;;;
48135445  ;;;;;;;;
27164004;prague_college;;;;;;;
68081740;psychologicky_ustav;;;;;;;
26612933;sdruzeni_pro_integraci_a_migraci;;;;;;;
00083232;severoceske_muzeum_v_liberci;;;;;;;
27447669;siriri;;;;;;;
47813059  ;;;;;;;;
00100595;slezske_zemske_muzeum;;;;;;;
68378017;slovansky_ustav;;;;;;;
68378025;sociologicky_ustav;;;;;;;
66000769;surao;;;;;;;
75014149;szpi;;;;;;;
60457856;;;;;;;;
46747885  ;;;;;;;;
60456540;technologicke_centrum;;;;;;;
00023442;umeleckoprumyslove_museum;;;;;;;
62690094  ;;;;;;;;
44555601  ;ujep;;;;;;;
00216208  ;univerzita_karlova_v_praze;;;;;;;
60162694-unob;;;;;;;;
61989592  ;;;;;;;;
00216275  ;upce;;;;;;;
70883521  ;;;;;;;;
48135097;urad_prumysloveho_vlastnictvi;;;;;;;
68081715;ustav_analyticke_chemie;;;;;;;
61388980;ustav_anorganicke_chemie;;;;;;;
47325011;ustav_archeologicke_pamatkove_pece_severozapadnich_cech;;;;;;;
68081766;ustav_biologie_obratlovcu;;;;;;;
68378033;ustav_dejin_umeni;;;;;;;
61389030;ustav_experimentalni_botaniky;;;;;;;
68378041;ustav_experimentalni_mediciny, farmakologicky_ustav;;;;;;;
67985882;ustav_fotoniky_a_elektroniky;;;;;;;
61388955;ustav_fyzikalni_chemie_j_heyrovskeho;;;;;;;
68378289;ustav_fyziky_atmosfery;;;;;;;
68081723;ustav_fyziky_materialu;;;;;;;
61389021;ustav_fyziky_plazmatu;;;;;;;
68145535;ustav_geoniky;;;;;;;
67985858;ustav_chemickych_procesu;;;;;;;
67985807;ustav_informatiky;;;;;;;
61389005;ustav_jaderne_fyziky;;;;;;;
61389013;ustav_makromolekularni_chemie;;;;;;;
60077344-umbr;ustav_molekularni_biologie_rostlin;;;;;;;
68378050;ustav_molekularni_genetiky;;;;;;;
61388963;ustav_organicke_chemie_a_biochemie;;;;;;;
68378068;ustav_pro_ceskou_literaturu;;;;;;;
61388998-ue;ustav_pro_elektrotechniku;;;;;;;
67985874;ustav_pro_hydrodynamiku;;;;;;;
68378092;ustav_pro_jazyk_cesky;;;;;;;
68378114;ustav_pro_soudobe_dejiny;;;;;;;
75112779;ustav_pro_studium_totalitnich_rezimu;;;;;;;
68081731;ustav_pristrojove_techniky;;;;;;;
60077344-upb;ustav_pudni_biologie;;;;;;;
68378122;ustav_statu_a_prava;;;;;;;
67985891;ustav_struktury_a_mechaniky_hornin;;;;;;;
68378297;ustav_teoreticke_a_aplikovane_mechaniky;;;;;;;
67985556;ustav_teorie_informace_a_automatizace;;;;;;;
61388998;ustav_termomechaniky;;;;;;;
86652079;centrum_vyzkumu_globalni_zmeny;;;;;;;
67985904;ustav_zivocisne_fyziologie_a_genetiky;;;;;;;
62157124  ;;;;;;;;
61989100  ;;;;;;;;
61384399  ;vysoka_skola_ekonomicka_v_praze;;;;;;;
26033909  ;vysoka_skola_evropskych_a_regionalnich_studii;;;;;;;
04274644  ;vysoka_skola_financni_a_spravni;;;;;;;
60461373  ;vscht;;;;;;;
04130081  ;vysoka_skola_manazerske_informatiky_a_ekonomiky;;;;;;;
71226401  ;;;;;;;;
75081431  ;;;;;;;;
60461071  ;;;;;;;;
00216305  ;vutbr;;;;;;;
00014125;vvud;;;;;;;
00025950;vyzkumny_ustav_bezpecnosti_prace;;;;;;;
00025615;vugtk;;;;;;;
00020702;vyzkumny_ustav_lesniho_hospodarstvi_a_myslivosti;;;;;;;
00027022;vyzkumny_ustav_potravinarsky;;;;;;;
45773009;vyzkumny_ustav_prace_a_socialnich_veci;;;;;;;
00027006;vyzkumny_ustav_rostlinne_vyroby;;;;;;;
00027073;vyzkumny_ustav_silva_taroucy;;;;;;;
00020711;vuv_tgm;;;;;;;
28282027;woodexpert;;;;;;;
49777513  ;zapadoceska_univerzita;;;;;;;
00228745;zapadoceske_muzeum_v_plzni;;;;;;;
